
7,5
7,43
27,43
27,35
12,35
12,28
27,28
27,21
12,21
12,14
27,14
27,5
7,5

49,10.68
46.15,10.92
43.38,11.62
40.76,12.77
38.36,14.33
36.26,16.27
34.5,18.53
33.14,21.04
32.21,23.75
32.21,26.57
31.74,29.43
32.21,32.25
33.14,34.96
34.5,37.47
36.26,39.73
38.36,41.67
40.76,43.23
43.38,44.38
46.15,45.08
46.67,41.95
44.41,41.38
42.27,40.44
40.31,39.16
38.6,37.58
37.16,35.74
36.05,33.68
35.29,31.47
34.91,29.17
34.91,26.83
35.29,24.53
36.05,22.32
37.16,20.26
38.6,18.42
40.31,16.84
42.27,15.56
44.41,14.62
46.67,14.05
49,13.86

57,5
57,43
77,43
77,35
62,35
62,28
77,28
77,21
62,21
62,14
77,14
77,5
57,5
